date,price,bid,ask,vol,dollar_vol
2017-03-25,,,,,
2017-03-26,,,,,
2017-03-27,103.08,103.06,103.08,2066.0,212963.28
2017-03-28,103.93,103.92,103.93,2910.0,302436.30000000005
2017-03-29,103.92,103.95,103.96,9428.0,979757.76
2017-03-30,104.46,104.44,104.45,5110.0,533790.6
2017-03-31,104.04,104.01,104.02,13940.0,1450317.6
2017-04-01,,,,,
2017-04-02,,,,,
2017-04-03,103.4515,103.74,103.92,60178.0,6225504.367
2017-04-04,103.8677,103.79,103.95,4000.0,415470.8
2017-04-05,103.46,103.46,103.47,22563.0,2334367.98
2017-04-06,103.83,103.79,103.87,1547.0,160625.01
2017-04-07,103.66,103.67,103.68,4517.0,468232.22
2017-04-08,,,,,
2017-04-09,,,,,
2017-04-10,103.75,103.75,103.77,3000.0,311250.0
2017-04-11,103.69,103.6,103.78,785419.0,81440096.11
2017-04-12,103.27,103.28,103.29,3627.0,374560.29
2017-04-13,102.38,102.39,102.4,13519.0,1384075.22
2017-04-14,,,,,
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,103.24,103.25,103.27,1036.0,106956.64
2017-04-18,102.84,102.83,102.84,693.0,71268.12
2017-04-19,102.51,102.42,102.56,4257.0,436385.07
2017-04-20,103.31,103.33,103.34,1397.0,144324.07
2017-04-21,102.83,102.8,102.82,2376.0,244324.08
2017-04-22,,,,,
2017-04-23,,,,,
2017-04-24,103.97,103.98,103.99,1874.0,194839.78
2017-04-25,104.5814,104.47,104.65,6000.0,627488.4
2017-04-26,104.57,104.58,104.59,2332.0,243857.24
2017-04-27,104.38,104.4,104.41,7567.0,789843.46
2017-04-28,103.93,103.93,103.94,1818.0,188944.74000000002
2017-04-29,,,,,
2017-04-30,,,,,
2017-05-01,103.94,103.94,103.95,3405.0,353915.7
2017-05-02,103.83,103.84,103.86,4271.0,443457.93
2017-05-03,103.95,103.96,103.97,7625.0,792618.75
2017-05-04,103.96,103.97,103.99,2236.0,232454.56
2017-05-05,104.42,104.42,104.43,3604.0,376329.68
2017-05-06,,,,,
2017-05-07,,,,,
2017-05-08,104.3,104.3,104.31,2258.0,235509.4
2017-05-09,104.06,104.06,104.47,1248.0,129866.88
2017-05-10,104.21,104.18,104.2,2012.0,209670.52
2017-05-11,103.93,103.94,103.95,40606.0,4220181.58
2017-05-12,103.57,103.55,103.56,5295.0,548403.1499999999
2017-05-13,,,,,
2017-05-14,,,,,
2017-05-15,104.17,104.14,104.15,1660.0,172922.2
2017-05-16,103.94,103.92,103.94,569.0,59141.86
2017-05-17,102.2,102.15,102.2,1100.0,112420.0
2017-05-18,102.22,102.23,102.25,1770.0,180929.4
2017-05-19,103.0,103.0,103.02,1321.0,136063.0
2017-05-20,,,,,
2017-05-21,,,,,
2017-05-22,103.41,103.4,103.41,4096.0,423567.36
2017-05-23,103.77,103.75,103.77,20923.0,2171179.71
2017-05-24,103.82,103.82,103.84,700.0,72674.0
2017-05-25,103.98,103.98,103.99,5627.0,585095.4600000001
2017-05-26,103.98,103.99,104.0,3576.0,371832.48000000004
2017-05-27,,,,,
2017-05-28,,,,,
2017-05-29,,,,,
2017-05-30,103.77,103.75,103.76,16835.0,1746967.95
2017-05-31,103.59,103.59,103.6,32135.0,3328864.65
2017-06-01,104.6,104.61,104.64,10749.0,1124345.4
2017-06-02,104.52,104.52,105.15,2000.0,209040.0
2017-06-03,,,,,
2017-06-04,,,,,
2017-06-05,104.42,104.45,104.46,7881.0,822934.02
2017-06-06,104.16,104.15,104.16,2599.0,270711.83999999997
2017-06-07,104.28,104.29,104.3,2870.0,299283.6
2017-06-08,104.555,104.42,104.56,6237.0,652109.535
2017-06-09,105.5574,105.48,105.7,8777.0,926477.2998
2017-06-10,,,,,
2017-06-11,,,,,
2017-06-12,105.81,105.78,105.8,1045.0,110571.45
2017-06-13,106.12,106.12,106.13,670.0,71100.40000000001
2017-06-14,106.04,106.04,106.05,1516.0,160756.64
2017-06-15,105.83,105.8,105.82,4404.0,466075.32
2017-06-16,105.78,105.75,105.77,8187.0,866020.86
2017-06-17,,,,,
2017-06-18,,,,,
2017-06-19,106.34,106.34,106.35,4819.0,512452.46
2017-06-20,105.66,105.65,105.67,400.0,42264.0
2017-06-21,105.14,105.14,105.17,555.0,58352.7
2017-06-22,105.03,105.0,105.02,1890.0,198506.7
2017-06-23,104.96,104.97,104.98,6222.0,653061.12
2017-06-24,,,,,
2017-06-25,,,,,
2017-06-26,105.33,105.34,105.36,3196.0,336634.68
